,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
320,K Asif,24,34,3,8.5,8.0
321,D Willey,24,38,0,9.5,8.0
322,J Scantlebury-Searles,6,12,0,12.0,8.0
323,C Dala,6,16,0,16.0,8.0
324,K Paul,6,16,0,16.0,8.0
325,H Brar,18,31,0,10.333333333333334,8.0
326,Y Raj,12,32,0,16.0,8.0
327,O Thomas,36,53,2,8.833333333333334,8.0
328,S Warrier,66,88,2,8.0,8.0
329,R Parag,6,10,1,10.0,8.0
330,I Sodhi,12,17,2,8.5,8.0
331,J Pattinson,102,144,4,8.470588235294118,8.0
332,S Cottrell,85,101,4,7.129411764705882,8.0
333,A Nortje,162,210,6,7.777777777777778,9.0
334,V Shankar,8,13,0,9.75,8.0
335,J Hazlewood,42,35,1,5.0,8.0
336,R Bishnoi,31,43,0,8.322580645161292,8.0
337,I Udana,54,100,2,11.11111111111111,8.0
338,K Tyagi,72,124,3,10.333333333333334,8.0
339,K Nagarkoti,24,29,0,7.25,8.0
340,T Deshpande,36,60,1,10.0,8.0
341,C Green,12,16,0,8.0,8.0
342,D Sams,30,36,0,7.199999999999999,8.0
343,M Kumar,6,5,0,5.0,8.0
344,K Jamieson,12,7,0,3.5,8.0
345,M Jansen,6,13,0,13.0,8.0
